Company Name,Industry,Symbol,Series,ISIN Code,Category
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,Midcap
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,Midcap
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,Midcap
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,Midcap
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,Midcap
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,Midcap
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,Midcap
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,Midcap
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,Midcap
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,Midcap
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,Midcap
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,Midcap
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,Midcap
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,Midcap
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,Midcap
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,Midcap
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,Midcap
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,Midcap
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,Midcap
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,Midcap
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,Midcap
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,Midcap
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,Midcap
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,Midcap
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,Midcap
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,Midcap
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,Midcap
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,Midcap
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,Midcap
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,Midcap
